year,statefip,state_name,census_region_name,labor_force_participation_rate,employment_rate,hhincome,incwage,poverty_rate,food_stamp_recipiency,homeownership_rate,rental_rate,rent_average_total,attending_school,educ_hs_grad,educ_college_grad,pct_hispanic,pct_white,pct_black,pct_asian,pct_female,pct_married,commute_car,commute_public,commute_time,work_from_home,migrate_no_move,migrate_same_state,migrate_new_state
2022,28,mississippi,South,0.573,0.950,80601,44298,0.192,0.168,0.717,0.283,1017,0.244,0.686,0.173,0.033,0.558,0.365,0.009,0.515,0.366,0.912,0.003,24.0,0.056,0.883,0.080,0.023
2018,29,missouri,Midwest,0.625,0.958,85865,44120,0.136,0.125,0.699,0.301,944,0.239,0.713,0.213,0.041,0.822,0.116,0.022,0.510,0.404,0.907,0.001,22.9,0.049,0.843,0.117,0.025
2019,29,missouri,Midwest,0.625,0.962,89386,45692,0.129,0.117,0.705,0.295,962,0.235,0.717,0.218,0.043,0.818,0.116,0.022,0.510,0.402,0.905,0.012,23.2,0.050,0.848,0.114,0.025
2020,29,missouri,Midwest,0.622,0.949,92859,46343,0.125,0.118,0.719,0.281,995,0.229,0.721,0.229,0.042,0.779,0.109,0.021,0.510,0.403,0.829,0.008,20.5,0.131,0.866,0.095,0.024
2021,29,missouri,Midwest,0.631,0.953,96892,49126,0.128,0.119,0.728,0.272,1025,0.236,0.722,0.231,0.046,0.776,0.108,0.021,0.508,0.401,0.814,0.007,19.7,0.149,0.858,0.102,0.027
2022,29,missouri,Midwest,0.630,0.963,99896,51560,0.130,0.116,0.721,0.279,1113,0.232,0.726,0.235,0.048,0.777,0.107,0.022,0.507,0.398,0.833,0.008,20.6,0.128,0.860,0.100,0.026
2018,30,montana,West,0.638,0.964,84242,39468,0.124,0.106,0.704,0.296,963,0.221,0.740,0.224,0.039,0.884,0.004,0.008,0.494,0.418,0.841,0.000,16.7,0.081,0.845,0.102,0.039
2019,30,montana,West,0.633,0.959,88265,40794,0.135,0.111,0.728,0.272,964,0.228,0.746,0.237,0.038,0.879,0.007,0.008,0.498,0.417,0.856,0.011,18.3,0.068,0.825,0.120,0.040
2020,30,montana,West,0.621,0.947,89317,42276,0.130,0.122,0.733,0.267,1069,0.211,0.748,0.245,0.043,0.851,0.004,0.007,0.496,0.421,0.793,0.007,16.6,0.136,0.864,0.092,0.034
2021,30,montana,West,0.619,0.957,98420,47048,0.117,0.095,0.726,0.274,1130,0.222,0.755,0.259,0.043,0.847,0.004,0.009,0.491,0.419,0.802,0.003,16.7,0.138,0.858,0.081,0.045
2022,30,montana,West,0.632,0.967,99036,48350,0.124,0.088,0.730,0.270,1220,0.217,0.747,0.251,0.044,0.849,0.004,0.008,0.494,0.423,0.803,0.006,16.5,0.127,0.857,0.085,0.046
2018,31,nebraska,Midwest,0.689,0.970,90367,43133,0.120,0.104,0.704,0.296,966,0.265,0.702,0.228,0.112,0.861,0.046,0.023,0.503,0.417,0.909,0.000,18.3,0.053,0.836,0.119,0.029
2019,31,nebraska,Midwest,0.694,0.968,93396,44480,0.105,0.091,0.701,0.299,974,0.268,0.708,0.235,0.114,0.861,0.050,0.025,0.501,0.420,0.912,0.007,18.7,0.047,0.838,0.122,0.023
2020,31,nebraska,Midwest,0.675,0.961,100224,46837,0.088,0.075,0.729,0.271,1022,0.260,0.704,0.234,0.115,0.790,0.046,0.028,0.504,0.413,0.841,0.004,17.1,0.116,0.859,0.104,0.022
2021,31,nebraska,Midwest,0.689,0.972,102970,49368,0.104,0.096,0.727,0.273,1063,0.266,0.704,0.244,0.119,0.784,0.045,0.023,0.500,0.416,0.832,0.004,16.8,0.124,0.864,0.101,0.020
2022,31,nebraska,Midwest,0.690,0.976,107546,51029,0.105,0.090,0.709,0.291,1147,0.261,0.717,0.244,0.123,0.783,0.044,0.023,0.499,0.410,0.847,0.004,16.7,0.112,0.860,0.096,0.025
